id,bathrooms,bedrooms,price,square_feet,latitude,longitude,time,has_photo_Thumbnail,cityname,state,source,predicted_price
5668625264.0,1,1.0,1470.0,675.0,42.0454,-87.6964,1577359303.0,1.0,447.0,14,9,-0.3078927674575155
5668637248.0,1,2.0,3000.0,1100.0,42.2711,-83.745,1577360150.0,1.0,39.0,22,9,-0.2677662557195294
5668609446.0,1,1.0,1060.0,1003.0,29.7714,-95.4343,1577358270.0,1.0,633.0,43,9,-0.3747505330607718
5664574124.0,1,1.0,1450.0,537.0,32.7876,-117.1265,1577015261.0,1.0,1245.0,4,9,0.3808195776598431
5668620596.0,1,1.0,630.0,700.0,30.6732,-88.1443,1577359007.0,1.0,912.0,1,9,-0.694999499397887
5668614189.0,1,1.0,959.0,561.0,32.8212,-96.7853,1577358584.0,1.0,350.0,43,9,-0.5284641120746835
5668625187.0,1,1.0,687.0,479.0,32.8212,-96.7853,1577359298.0,1.0,350.0,43,9,-0.718081561826706
5509193484.0,1,1.0,745.0,610.0,32.8524,-97.0886,1568778718.0,0.0,446.0,43,8,-0.5771148084047545
5508761131.0,1,1.0,1565.0,847.0,27.2467,-82.4882,1568750574.0,1.0,1269.0,9,8,-0.0733826315889684
5509110411.0,2,2.0,3565.0,1135.0,40.789,-74.0122,1568773965.0,0.0,1505.0,31,8,1.873519890419328
5668636720.0,1,1.0,925.0,600.0,40.7061,-111.9048,1577360131.0,1.0,1240.0,44,9,-0.5158012762941372
5659898205.0,2,3.0,2805.0,1200.0,33.8,-117.8367,1576666419.0,1.0,1044.0,4,9,1.6885004567403588
5664577184.0,2,4.0,1399.0,1913.0,33.5944,-112.1837,1577015537.0,1.0,748.0,16,3,0.10563143351068975
5509245368.0,1,1.0,2025.0,918.0,40.3663,-74.6688,1568780720.0,1.0,1143.0,31,8,0.4556199585198863
5668634524.0,1,1.0,835.0,440.0,35.0462,-85.2352,1577359991.0,1.0,261.0,42,9,-0.6289816895603875
5668622770.0,1,1.0,800.0,250.0,38.1255,-121.2878,1577359136.0,1.0,779.0,4,9,-0.34897244965248203
5664568452.0,2,4.0,3240.0,1470.0,39.1679,-84.4933,1577014880.0,1.0,350.0,43,8,0.11862484081965409
5648134015.0,1,1.0,750.0,597.0,42.0259,-93.6516,1575978037.0,1.0,30.0,12,9,-0.8343874887932757
5509136540.0,1,2.0,1808.0,610.0,33.7696,-118.1926,1568775381.0,1.0,784.0,4,8,0.5426324040288033
5668625103.0,1,1.0,1305.0,564.0,43.0724,-89.4003,1577359293.0,1.0,809.0,48,9,-0.423631246990788
5509155874.0,1,1.0,1077.0,945.0,35.9999,-78.9413,1568776749.0,1.0,396.0,27,8,-0.28712715720387966
5508970709.0,1,1.0,872.0,788.0,32.9954,-96.7849,1568764553.0,1.0,350.0,43,8,-0.42299818506208536
5509033609.0,2,2.0,1780.0,1412.0,34.0299,-84.2425,1568769023.0,1.0,21.0,10,8,0.07131120467029756
5668629000.0,1,0.0,1299.0,243.0,47.616,-122.3275,1577359586.0,1.0,1284.0,47,9,-0.2542704414837519
5509047779.0,1,1.0,1840.0,820.0,39.0017,-77.0353,1568770065.0,1.0,1307.0,20,8,0.16323349471251794
5668610891.0,2,3.0,1049.0,1286.0,39.4846,-86.0525,1577358367.0,1.0,496.0,15,9,-0.16650612143689458
5668614589.0,1,1.0,1035.0,680.0,61.1723,-149.8414,1577358617.0,1.0,34.0,0,9,-0.5343039514222591
5668632054.0,1,1.0,859.0,620.0,30.5118,-97.6873,1577359801.0,1.0,1216.0,43,9,-0.5409570733686461
5508976476.0,1,1.0,791.0,674.0,32.9954,-96.7849,1568764862.0,0.0,350.0,43,8,-0.5847830662933909
